#,Item,Seu valor
1,Taxa de mistura em s=0.5,"0,00% (0/400)"
2,Taxa de mistura em s=1.0,"5,00% (20/400)"
3,Taxa de mistura em s=2.0,"19,25% (77/400)"
4,Taxa de mistura em s=4.0,"48,25% (193/400)"
5,Menor r_ij em s=1.0 e qual é o par,"1,3258; par (0, 1)"
6,Distância entre os centros — Dataset I,"3,3988"
7,Distância entre os centros — Dataset II,"0,2215"
8,Variância explicada PC1 + PC2 — Dataset I,"66,2453%"
9,Variância explicada PC1 + PC2 — Dataset II,"42,2740%"
10,Proporção da classe positiva em Transported,"0,503624 (50,3624%)"
11,"Média e mediana de FoodCourt no treino, antes de transformar","Média 462,1448; mediana 0,0000"
12,shape final da matriz de features de treino,"(6954, 21)"
13,Mínimo e máximo do treino e do teste após o escalonamento,"Treino [-1,0, 1,0]; teste [-1,0, 1,0]"
