indice_original,Transported
2390,1
5703,0
57,0
5661,1
1505,1
8551,1
7840,1
4228,0
2884,0
1935,0
1553,0
7517,1
4314,1
1212,0
6379,0
1833,1
8098,1
2320,0
2766,0
261,0
8314,0
104,0
4711,0
8607,1
3241,0
549,1
7590,1
2085,0
6407,0
3089,1
3052,1
3464,1
8069,0
1811,1
6196,0
1946,1
2240,1
791,1
4957,1
7390,1
2267,1
2161,1
6783,0
4803,0
8021,0
7698,1
249,1
300,1
3211,1
650,1
6749,0
5840,1
4908,1
6088,1
673,1
5733,1
1740,1
5429,1
3060,1
1464,1
100,0
3543,0
6108,0
1072,1
6332,0
1011,0
4863,1
2839,0
6763,0
4928,1
1686,0
5609,0
6830,1
5275,0
7255,1
4900,1
1564,0
7476,1
5241,0
6532,1
5729,0
1784,1
8421,0
217,0
6468,0
3549,0
3963,0
858,1
5041,0
4689,1
793,1
4001,1
5847,1
203,0
6073,1
3650,1
7910,0
904,0
951,1
1757,0
3596,1
3426,1
2426,0
1963,0
7959,1
5019,1
5104,0
5725,0
2789,0
2960,1
5711,1
4454,1
2281,0
2554,1
1577,0
2890,1
3798,0
144,0
2083,1
8149,1
3937,1
6277,1
8646,0
2580,0
8191,1
4365,1
17,0
4376,0
6720,0
8071,1
6997,0
5235,0
1476,0
6632,1
4219,1
5303,1
5849,1
3149,1
603,0
2146,0
3881,1
5966,0
213,0
4919,1
4630,1
2209,1
7638,0
514,0
2378,1
4482,1
6795,0
2728,0
4717,1
7195,0
521,0
8275,0
5861,0
1139,1
2478,1
4508,1
6787,1
8250,1
4299,1
1025,0
7078,1
6756,1
3564,0
4008,1
1092,0
8432,0
5842,0
5832,0
5237,1
8593,0
430,0
2117,1
3745,1
8014,0
8046,1
7235,1
5739,1
1191,0
7701,1
4991,1
7949,1
4986,1
7024,1
7294,0
6807,1
724,0
920,0
8395,0
4496,0
3102,0
5154,0
3908,0
5256,0
1428,0
8674,0
4097,1
5499,0
8614,0
4131,1
356,1
4114,0
3004,1
2356,0
2173,0
4934,1
2344,1
1598,0
7486,1
5620,1
5135,1
2583,0
1410,1
5566,0
6758,0
7966,0
357,0
6456,1
6074,0
4872,1
1969,0
2805,0
2905,0
991,0
6972,0
1068,0
2915,0
3248,0
7945,0
3606,1
520,1
6381,1
5042,1
2921,0
7108,0
6522,0
31,0
4913,1
6329,0
2696,1
8468,1
1687,1
583,0
6504,1
2058,0
7081,1
8257,0
6571,1
4615,1
4531,1
5177,0
6583,1
8375,0
2409,0
7119,1
4080,0
2067,1
862,1
7222,0
756,1
5072,0
829,0
3624,1
5342,0
510,1
7769,1
8124,1
1261,0
262,0
7950,1
4378,0
578,1
2747,0
8017,0
8189,0
2636,1
5185,0
6276,0
4025,1
2643,1
4942,1
8025,0
7456,0
3049,1
3867,1
282,1
7025,0
6556,0
2444,0
5622,1
5931,1
2180,0
666,0
6893,1
515,1
7341,1
5469,0
5403,1
219,0
6591,0
1006,1
1798,0
5977,1
5629,0
2423,1
2212,0
6978,0
5273,0
3665,1
1703,0
414,1
184,1
3521,1
7852,1
3342,1
812,0
6661,1
7761,0
4672,0
2714,0
6977,0
610,1
6023,1
2332,1
3220,1
464,0
1659,1
5999,1
5290,1
2245,1
609,0
3162,1
690,1
8622,1
3495,0
7750,1
8681,1
49,0
5571,0
1415,0
2304,0
6183,1
7434,0
3451,0
641,1
3633,1
6786,1
5954,0
8192,1
1562,0
7627,1
6540,0
581,0
3960,0
6730,0
3726,1
1062,1
1996,0
4598,1
3740,1
1012,0
4679,1
3503,1
4901,1
5612,0
1265,0
3260,0
7661,0
1269,1
2098,0
328,1
4820,1
6054,0
7801,0
4363,1
1241,1
5819,0
8249,0
429,1
2565,0
4417,0
5186,1
5642,1
3824,1
8321,0
1510,0
7866,0
6809,1
7864,1
4956,1
7749,1
671,1
7466,0
4868,1
8074,0
4099,1
7411,1
7737,0
486,1
2767,1
2941,1
5103,0
774,1
1437,0
2123,0
6815,0
2113,1
7839,0
6270,0
1416,0
1109,1
841,0
2278,1
1255,0
7349,1
4278,0
6743,1
4149,0
865,0
5723,1
7168,1
1472,0
2690,0
1689,0
1705,0
2841,1
5038,0
1370,1
5534,1
72,1
7918,1
622,1
2695,0
3271,0
1427,1
7784,0
999,1
6515,0
4704,0
8180,0
7031,0
5330,0
8288,1
8170,0
8293,0
3777,1
5226,0
3854,0
133,1
7755,1
3579,1
1094,1
1660,0
7971,0
3317,0
6309,1
1309,0
4307,1
5548,0
2352,0
2703,0
4342,1
2673,0
8668,1
4695,0
4911,0
961,1
5872,0
3814,0
4952,0
5824,1
8051,0
3152,0
1482,0
2158,0
149,0
3746,1
7192,1
5003,0
8153,0
237,1
2546,1
7084,0
2962,0
2922,1
5433,0
1919,1
6625,1
3969,1
2706,0
302,0
6005,0
7196,1
1177,0
914,0
7605,1
2584,0
2965,0
2225,0
1658,0
6914,0
1895,1
6946,1
4379,0
8146,0
6035,0
4207,1
2598,1
7580,0
6298,1
6461,1
2199,0
6139,0
4050,0
6283,1
1430,0
4660,1
1726,1
6941,0
8569,1
6398,0
7252,0
4661,0
1777,0
3888,0
4819,1
3737,1
4838,1
7381,1
8194,0
4430,0
906,1
8091,0
1027,1
4092,1
5458,1
4233,0
4668,1
1855,1
7748,0
3026,1
1056,0
8545,1
1780,1
6970,1
8508,0
7107,1
1140,0
4180,1
3676,0
2062,0
3535,1
466,1
5740,0
1502,1
6810,0
7351,1
2214,0
5856,0
2502,0
8265,0
8409,1
4487,1
6259,1
2577,0
218,0
1595,0
2518,1
1990,0
5004,1
3978,1
3520,1
6671,0
7898,1
1303,0
7116,0
8502,1
7362,1
7356,1
6498,1
7090,1
2474,1
6475,0
8573,1
3160,1
6912,0
2520,1
2463,1
640,0
8643,1
2653,0
4320,0
5090,0
4813,1
6339,1
1948,1
3236,0
4750,1
4958,1
5302,0
4455,1
7621,1
4466,0
3445,1
8075,0
8555,0
7581,0
6955,0
5018,1
2749,1
4051,1
1128,0
1774,0
6836,0
2833,0
1434,1
6025,1
719,1
2704,0
7113,1
4594,1
5065,0
3393,0
1907,1
7188,0
3708,0
6927,0
6959,0
8233,1
4769,0
5289,1
7428,0
5073,1
3100,0
3912,1
4553,1
713,1
5987,0
5365,0
6938,1
3091,1
5444,1
6234,0
3846,0
993,1
