indice_original,Transported
5613,1
2457,0
1498,0
6773,0
5637,1
3036,0
1071,1
268,1
981,0
4275,0
6913,0
8514,1
4450,1
709,0
1367,0
2256,0
7741,0
4509,0
6064,0
7129,1
330,1
8097,0
5704,1
3605,1
4664,1
1642,1
1782,0
7122,1
7478,1
6487,1
3697,0
7092,0
6473,1
5053,0
2483,1
5257,1
1758,0
2189,0
1581,0
7143,1
4510,1
1778,0
2166,0
5686,1
8515,0
6752,0
3256,1
2343,1
4119,1
4851,0
3039,1
4053,0
4980,1
7197,1
2493,1
2239,0
4967,1
2443,0
7954,1
3164,1
2933,0
6147,1
2322,0
1020,0
134,0
372,0
2248,0
819,1
4899,1
8570,1
8576,0
4066,1
6318,0
7657,0
2053,0
6284,1
8219,0
7249,0
8584,1
5781,1
2165,0
5959,1
6574,1
6242,1
7403,0
4332,0
6431,1
71,1
3235,0
711,1
7858,1
5373,1
2396,0
7305,1
1580,0
3572,0
1136,0
3170,0
2197,0
7358,0
5868,0
6600,0
6617,0
1844,1
3936,0
3359,1
4016,1
1842,1
3904,1
2961,0
7819,0
4193,0
2616,0
3919,0
4529,1
919,0
6934,0
8331,1
6016,0
1402,0
7402,1
2422,0
998,0
5098,1
7598,1
3,0
1722,1
3883,0
6478,1
7534,0
6063,0
7246,0
6220,1
6628,1
4472,1
6708,1
1053,0
6043,0
4273,1
329,0
3228,1
4464,1
2506,0
6775,1
6974,0
143,1
1219,0
1560,1
8241,0
8353,1
5468,0
2505,0
1371,1
1134,1
5536,0
5493,0
5677,1
2661,1
6474,0
484,1
374,0
1983,0
3077,1
2069,1
3387,1
5588,1
2194,0
558,1
6244,0
2222,0
6985,1
1664,0
8023,0
642,0
3510,1
3639,0
7788,0
5334,1
7618,0
1266,0
3385,0
4903,1
3243,1
8086,1
4005,0
1583,0
3772,0
3399,0
178,1
4075,0
3462,1
4405,0
7920,1
3430,0
59,1
2936,1
4082,0
7158,1
4349,1
2752,0
5298,0
6822,1
623,1
5497,1
854,0
3893,0
2070,0
4122,1
6414,1
5413,1
3566,1
186,1
2553,0
7557,0
7699,1
6684,1
4091,1
2822,0
8220,1
7732,0
10,1
1041,0
1190,0
8094,1
6225,1
306,1
4949,1
8530,1
141,1
1232,1
4057,1
4897,0
1708,1
1254,0
8490,0
8068,0
525,0
3552,0
8311,1
2096,1
7202,0
4959,1
1073,0
7689,0
530,0
318,1
351,1
3421,1
6519,1
1918,1
6608,0
385,1
3350,1
2324,0
4328,1
2342,1
6359,1
428,1
1258,1
8334,0
5247,1
7860,1
6629,0
7323,1
7791,0
2621,0
3758,1
784,1
5952,0
598,1
3135,0
21,0
3307,1
6237,1
8419,0
5989,1
7274,0
5206,1
4936,1
1147,1
3840,1
271,1
7758,1
5001,1
4004,0
1366,0
2524,0
788,1
6017,0
4181,1
6150,0
1611,0
3013,1
1313,0
3038,1
5804,1
1878,0
7767,1
5823,0
6672,0
4052,1
4441,1
7639,0
1067,1
7667,0
3661,1
7417,1
2537,1
7529,0
7888,1
1143,1
3739,0
1923,0
6408,1
1334,0
2301,0
1609,1
6657,0
4635,0
4384,0
5917,1
7132,1
1409,0
2926,0
8110,1
3724,1
8001,1
7739,1
545,0
4963,1
3957,0
7003,0
3509,0
8457,1
3887,1
8580,1
6856,1
2002,1
7797,0
8342,0
6871,0
8210,0
6888,0
4545,1
5457,0
407,0
7095,1
7571,1
4161,0
5822,0
253,1
3586,1
2223,1
8675,1
7789,0
408,1
1186,0
2042,0
6860,0
8326,0
4133,1
3638,1
3719,1
6791,0
7404,1
5502,1
116,0
4715,1
6149,0
1517,1
2217,0
5757,0
7543,1
7556,0
5922,0
6883,1
5528,1
8648,1
5155,0
5769,1
2563,1
2000,1
1222,1
8594,1
5047,1
7309,0
4786,0
1455,0
2280,1
6721,1
2924,1
5570,1
5420,0
4473,1
1826,0
5222,1
6976,1
926,0
4121,0
7416,1
6800,1
8018,1
7339,0
5472,1
5973,0
7036,0
1276,1
7387,0
3533,0
3652,0
2107,1
5076,0
3078,1
4312,1
654,1
2436,1
3224,0
3130,0
7030,1
1980,0
7152,0
5370,0
6744,0
3621,1
4565,0
8540,0
7199,1
4322,0
2081,0
5117,0
8355,1
8016,1
6132,0
3479,0
3425,0
4440,1
1369,1
5964,0
2717,0
63,0
5025,1
2207,1
3839,1
242,0
1014,1
1578,0
16,0
742,0
8560,1
4120,0
5078,0
6034,1
4941,0
7773,1
1054,1
5923,0
5169,0
4345,1
2031,0
304,1
3025,1
4436,0
6002,1
1122,0
6841,0
1736,0
1584,0
3230,0
881,0
1569,0
2095,0
2860,1
1525,1
2977,0
8142,0
7256,1
1302,0
5851,1
449,1
656,1
3869,1
604,0
3192,1
6115,1
7352,1
3779,1
847,0
197,1
1349,1
2078,0
4692,0
994,1
1661,1
83,1
7484,0
279,0
7171,1
892,0
6124,1
1381,0
1485,1
8416,1
6919,0
4302,0
7506,0
772,0
6712,0
6069,1
67,0
3598,1
5646,0
2087,0
5697,0
8466,1
3831,1
4271,1
2885,1
7572,1
2052,1
3184,0
706,1
4439,1
2509,0
6162,0
326,0
490,0
1192,1
5292,0
3856,1
1832,1
6981,1
8372,1
6877,1
4988,1
6944,0
438,1
2711,0
8195,0
1153,0
1468,1
6128,1
1435,0
2476,0
1817,0
7768,1
2364,1
681,0
54,1
909,1
2600,0
7939,1
3414,0
7191,1
7393,0
3764,0
2545,0
3830,0
3373,0
2295,0
1688,1
5328,1
8462,0
5685,1
4894,1
4027,1
5568,1
7545,0
2813,0
2407,0
872,0
7565,1
7460,1
5738,1
4563,0
2219,0
8289,0
6694,1
6400,1
2769,0
3298,1
4017,0
4022,1
5148,1
6549,1
1226,1
4134,0
5902,1
4605,0
8317,1
1865,0
899,1
6739,0
3734,0
8523,1
7159,1
4088,1
7244,1
2025,0
5603,1
8685,1
621,1
5618,1
6114,1
7228,1
5786,0
3141,1
3219,0
5635,1
6289,0
5480,0
519,0
4713,0
3784,0
8151,0
5193,1
5636,1
2713,1
3262,1
303,1
2944,0
1503,1
3180,1
8,1
4055,0
7978,0
6541,0
4869,1
7042,0
3759,0
6846,0
6880,0
4270,1
6751,1
5561,0
2340,0
1942,1
3940,1
185,0
4231,0
11,1
7029,0
646,0
2625,1
495,0
2099,0
448,0
2768,1
3972,1
7435,1
399,0
1315,0
166,1
4992,0
2722,1
4218,1
6925,0
2605,0
3485,1
488,0
1201,0
7941,0
2844,0
7975,0
101,0
4065,1
4996,1
6753,0
5582,0
8626,0
6692,1
6301,1
4910,1
1450,0
2054,1
6319,0
3269,0
404,0
8234,1
2685,0
7539,0
5219,0
7354,0
5808,0
1610,0
8144,1
1257,1
4380,0
5093,0
1670,1
7671,0
5671,0
5467,0
4223,1
600,0
4562,1
2110,0
4893,0
1339,0
4123,1
7806,0
1927,1
949,0
7648,0
1391,0
516,1
8099,1
3318,0
3723,0
5593,0
8475,0
5910,1
6824,0
947,1
5310,0
7175,0
441,0
5,1
6663,1
2948,0
4073,1
7442,1
2897,1
419,1
2060,0
2372,1
494,0
1836,0
7447,1
2270,1
5081,1
128,0
1579,0
6075,0
2806,0
5841,1
198,0
2051,1
6627,0
1582,0
7421,0
2940,0
1205,1
6083,0
562,0
6581,1
4356,0
7656,0
3619,0
1022,1
5866,1
6031,1
70,1
5961,0
4920,1
6677,1
7125,1
2140,0
5020,1
5017,1
4351,0
3319,1
6890,0
